0000000206900000000000          PRECINCTS COUNTED - TOTAL                               PRECINCTS COUNTED - TOTAL                                      000
0001001206915817550000          REGISTERED VOTERS - TOTAL                               VOTERS                                                         000
0002001206900000000000          BALLOTS CAST - TOTAL                                    BALLOTS CAST                                                   000
0010001206900000100000          Mayor                                                   JERRY JOYCE                           City Of Chicago          001
0010002206900000050000          Mayor                                                   PAUL VALLAS                           City Of Chicago          001
0010003206900000000000          Mayor                                                   WILLIE L. WILSON                      City Of Chicago          001
0010004206900000000000          Mayor                                                   TONI PRECKWINKLE                      City Of Chicago          001
0010005206900000000000          Mayor                                                   WILLIAM M. DALEY                      City Of Chicago          001
0010006206900000000000          Mayor                                                   GARRY MCCARTHY                        City Of Chicago          001
0010007206900000000000          Mayor                                                   GERY CHICO                            City Of Chicago          001
0010008206900000000000          Mayor                                                   SUSANA A. MENDOZA                     City Of Chicago          001
0010009206900000000000          Mayor                                                   AMARA ENYIA                           City Of Chicago          001
0010010206900000000000          Mayor                                                   LA SHAWN K. FORD                      City Of Chicago          001
0010011206900000000000          Mayor                                                   NEAL SALES-GRIFFIN                    City Of Chicago          001
0010012206900000000000          Mayor                                                   LORI LIGHTFOOT                        City Of Chicago          001
0010013206900000000000          Mayor                                                   ROBERT ''BOB'' FIORETTI               City Of Chicago          001
0010014206900000000000          Mayor                                                   JOHN KENNETH KOZLAR                   City Of Chicago          001
0011001206900000000000          Clerk                                                   ANNA M. VALENCIA                      City Of Chicago          001
0012001206900000000000          Treasurer                                               MELISSA CONYEARS-ERVIN                City Of Chicago          001
0012002206900000000000          Treasurer                                               AMEYA PAWAR                           City Of Chicago          001
0012003206900000000000          Treasurer                                               PETER GARIEPY                         City Of Chicago          001
0013001004400000000000          Alderman 1st Ward                                       PROCO ''JOE'' MORENO                  1st Ward                 001
0013002004400000000000          Alderman 1st Ward                                       DANIEL LA SPATA                       1st Ward                 001
0014001004600000000000          Alderman 2nd Ward                                       BRIAN HOPKINS                         2nd Ward                 001
0015001004100000000000          Alderman 3rd Ward                                       PATRICIA ''PAT'' DOWELL               3rd Ward                 001
0015002004100000000000          Alderman 3rd Ward                                       ALEXANDRIA WILLIS                     3rd Ward                 001
0016001003800000000000          Alderman 4th Ward                                       SOPHIA KING                           4th Ward                 001
0016002003800000000000          Alderman 4th Ward                                       EBONY D. LUCAS                        4th Ward                 001
0017001004100000000000          Alderman 5th Ward                                       LESLIE A. HAIRSTON                    5th Ward                 001
0017002004100000000000          Alderman 5th Ward                                       WILLIAM CALLOWAY                      5th Ward                 001
0017003004100000000000          Alderman 5th Ward                                       GABRIEL PIEMONTE                      5th Ward                 001
0018001004800000000000          Alderman 6th Ward                                       RODERICK T. SAWYER                    6th Ward                 001
0018002004800000000000          Alderman 6th Ward                                       RICHARD A. WOOTEN                     6th Ward                 001
0018003004800000000000          Alderman 6th Ward                                       DEBORAH A. FOSTER-BONNER              6th Ward                 001
0019001004600000000000          Alderman 7th Ward                                       GREGORY I. MITCHELL                   7th Ward                 001
0019002004600000000000          Alderman 7th Ward                                       CHARLES KYLE                          7th Ward                 001
0019003004600000000000          Alderman 7th Ward                                       JEDIDIAH L. BROWN                     7th Ward                 001
0020001005600000000000          Alderman 8th Ward                                       MICHELLE A. HARRIS                    8th Ward                 001
0020002005600000000000          Alderman 8th Ward                                       JEWEL EASTERLING-SMITH                8th Ward                 001
0020003005600000000000          Alderman 8th Ward                                       LINDA HUDSON                          8th Ward                 001
0020004005600000000000          Alderman 8th Ward                                       FAHEEM SHABAZZ                        8th Ward                 001
0021001005100000000000          Alderman 9th Ward                                       ANTHONY A. BEALE                      9th Ward                 001
0021002005100000000000          Alderman 9th Ward                                       CLEOPATRA WATSON                      9th Ward                 001
0021003005100000000000          Alderman 9th Ward                                       PAUL COLLINS                          9th Ward                 001
0021004005100000000000          Alderman 9th Ward                                       ESSIE HALL                            9th Ward                 001
0022001003600000000000          Alderman 10th Ward                                      SUSAN SADLOWSKI GARZA                 10th Ward                001
0022002003600000000000          Alderman 10th Ward                                      ROBERT ''BOBBY'' LONCAR               10th Ward                001
0023001003800000000000          Alderman 11th Ward                                      PATRICK DALEY THOMPSON                11th Ward                001
0023002003800000000000          Alderman 11th Ward                                      DAVID MIHALYFY                        11th Ward                001
0024001002300000000000          Alderman 12th Ward                                      GEORGE CARDENAS                       12th Ward                001
0024002002300000000000          Alderman 12th Ward                                      PETE DEMAY                            12th Ward                001
0024003002300000000000          Alderman 12th Ward                                      MARTHA YERANIA RANGEL                 12th Ward                001
0024004002300000000000          Alderman 12th Ward                                      JOSE RICO                             12th Ward                001
0025001004800000000000          Alderman 13th Ward                                      MARTY QUINN                           13th Ward                001
0025002004800000000000          Alderman 13th Ward                                      DAVID J. KRUPA                        13th Ward                001
0026001003100000000000          Alderman 14th Ward                                      EDWARD M. BURKE                       14th Ward                001
0026002003100000000000          Alderman 14th Ward                                      JAIME GUZMAN                          14th Ward                001
0026003003100000000000          Alderman 14th Ward                                      TANYA G. PATINO                       14th Ward                001
0027001002400000000000          Alderman 15th Ward                                      JOSEPH G. WILLIAMS                    15th Ward                001
0027002002400000000000          Alderman 15th Ward                                      RAFAEL ''RAFA'' YANEZ                 15th Ward                001
0027003002400000000000          Alderman 15th Ward                                      RAYMOND A. LOPEZ                      15th Ward                001
0027004002400000000000          Alderman 15th Ward                                      BERTO AGUAYO                          15th Ward                001
0027005002400000000000          Alderman 15th Ward                                      OTIS DAVIS, JR.                       15th Ward                001
0028001003600000000000          Alderman 16th Ward                                      STEPHANIE D. COLEMAN                  16th Ward                001
0028002003600000000000          Alderman 16th Ward                                      LATASHA M. SANDERS                    16th Ward                001
